ID,business_type,campaign_goal,budget_level,campaign_duration,area_type,active_hours,ad_style,interaction_goal,offer_type,business_stage,best_place
1,clinic,sales,low,short_week,main_street,evening,coupon_offer,store_visit,product,new,malls
2,electronics,sales,low,mid_month,main_street,morning,static_image,purchase,product,famous,malls
3,fashion_store,sales,high,short_week,inside_mall,morning,coupon_offer,purchase,service,established,malls
4,education_center,sales,medium,long_2months,main_street,evening,static_image,purchase,product,new,streets
5,restaurant,sales,low,short_week,main_street,noon,short_video,store_visit,product,famous,malls
6,clinic,sales,medium,short_week,inside_mall,evening,static_image,website_visit,service,famous,malls
7,restaurant,sales,low,short_week,near_entertainment,evening,short_video,purchase,product,famous,malls
8,cafe,sales,medium,short_week,main_street,evening,short_video,store_visit,experience,established,entertainment_restaurants
9,restaurant,sales,medium,mid_month,main_street,morning,short_video,social_follow,product,famous,entertainment_restaurants
10,restaurant,awareness,medium,mid_month,inside_mall,evening,short_video,website_visit,product,famous,entertainment_restaurants
11,cafe,footfall,low,long_2months,near_entertainment,noon,static_image,purchase,product,established,entertainment_restaurants
12,gym,footfall,low,short_week,inside_mall,evening,coupon_offer,purchase,product,new,entertainment_restaurants
13,restaurant,footfall,low,mid_month,near_entertainment,morning,static_image,website_visit,product,famous,entertainment_restaurants
14,cafe,footfall,medium,short_week,inside_mall,evening,static_image,website_visit,product,new,entertainment_restaurants
15,fashion_store,footfall,low,short_week,inside_mall,evening,short_video,social_follow,experience,new,malls
16,gaming_arcade,sales,low,long_2months,main_street,noon,coupon_offer,purchase,product,new,malls
17,fashion_store,footfall,medium,mid_month,near_entertainment,morning,short_video,store_visit,experience,new,entertainment_restaurants
18,electronics,footfall,low,short_week,near_entertainment,noon,coupon_offer,website_visit,product,famous,entertainment_restaurants
19,education_center,product_launch,high,short_week,main_street,morning,short_video,store_visit,product,famous,malls
20,supermarket,footfall,medium,long_2months,near_entertainment,evening,static_image,store_visit,product,famous,malls
21,clinic,awareness,low,mid_month,main_street,evening,short_video,social_follow,product,new,streets
22,gaming_arcade,sales,low,long_2months,inside_mall,evening,static_image,website_visit,service,established,entertainment_restaurants
23,cafe,awareness,low,mid_month,main_street,noon,short_video,purchase,product,established,streets
24,education_center,sales,low,short_week,near_entertainment,evening,coupon_offer,store_visit,product,famous,malls
25,clinic,product_launch,medium,short_week,near_entertainment,noon,static_image,social_follow,product,new,entertainment_restaurants
26,clinic,sales,medium,mid_month,inside_mall,evening,short_video,website_visit,experience,famous,malls
27,supermarket,sales,low,short_week,near_entertainment,morning,short_video,purchase,service,new,entertainment_restaurants
28,gaming_arcade,sales,low,mid_month,main_street,noon,short_video,store_visit,experience,famous,entertainment_restaurants
29,cafe,sales,low,mid_month,near_entertainment,noon,static_image,store_visit,experience,famous,malls
30,supermarket,awareness,low,mid_month,inside_mall,evening,coupon_offer,purchase,service,established,malls
31,restaurant,awareness,high,short_week,near_entertainment,noon,short_video,purchase,product,new,entertainment_restaurants
32,fashion_store,awareness,high,short_week,main_street,noon,coupon_offer,website_visit,experience,new,streets
33,restaurant,product_launch,low,short_week,main_street,evening,short_video,purchase,product,established,entertainment_restaurants
34,cafe,awareness,low,long_2months,main_street,evening,static_image,purchase,product,new,streets
35,fashion_store,sales,high,mid_month,inside_mall,noon,short_video,website_visit,product,new,malls
36,education_center,awareness,high,mid_month,inside_mall,noon,short_video,store_visit,product,established,streets
37,electronics,footfall,low,mid_month,near_entertainment,evening,short_video,store_visit,product,established,entertainment_restaurants
38,supermarket,awareness,medium,short_week,inside_mall,morning,short_video,website_visit,service,new,malls
39,clinic,sales,medium,mid_month,inside_mall,evening,short_video,purchase,service,new,streets
40,supermarket,awareness,medium,mid_month,near_entertainment,morning,short_video,website_visit,product,established,entertainment_restaurants
41,gym,footfall,high,long_2months,main_street,evening,short_video,store_visit,experience,established,streets
42,supermarket,sales,medium,mid_month,inside_mall,noon,static_image,store_visit,product,famous,malls
43,restaurant,sales,low,short_week,main_street,noon,static_image,store_visit,service,established,streets
44,education_center,sales,high,mid_month,main_street,evening,short_video,store_visit,experience,famous,malls
45,gym,awareness,high,mid_month,inside_mall,noon,short_video,purchase,service,established,streets
46,beauty_salon,product_launch,medium,long_2months,main_street,evening,short_video,website_visit,experience,new,streets
47,cafe,sales,medium,mid_month,near_entertainment,evening,short_video,store_visit,product,established,entertainment_restaurants
48,fashion_store,footfall,medium,mid_month,near_entertainment,evening,short_video,store_visit,product,new,entertainment_restaurants
49,clinic,sales,medium,mid_month,inside_mall,evening,static_image,store_visit,service,famous,malls
50,restaurant,sales,medium,long_2months,inside_mall,evening,short_video,purchase,service,new,entertainment_restaurants
51,supermarket,footfall,low,long_2months,near_entertainment,noon,short_video,store_visit,product,established,entertainment_restaurants
52,supermarket,sales,high,mid_month,near_entertainment,evening,short_video,purchase,experience,established,entertainment_restaurants
53,electronics,footfall,medium,mid_month,inside_mall,evening,coupon_offer,store_visit,experience,new,malls
54,clinic,sales,low,long_2months,inside_mall,morning,coupon_offer,store_visit,experience,established,malls
55,restaurant,product_launch,low,mid_month,main_street,evening,static_image,purchase,product,established,streets
56,cafe,awareness,low,mid_month,main_street,noon,short_video,purchase,product,established,streets
57,cafe,sales,low,short_week,main_street,evening,short_video,store_visit,product,established,entertainment_restaurants
58,electronics,sales,low,short_week,inside_mall,morning,short_video,website_visit,product,famous,malls
59,gaming_arcade,sales,high,mid_month,near_entertainment,evening,static_image,website_visit,product,new,entertainment_restaurants
60,electronics,awareness,medium,short_week,main_street,morning,short_video,website_visit,product,famous,streets
61,gym,footfall,medium,short_week,main_street,noon,short_video,purchase,experience,established,streets
62,clinic,awareness,high,short_week,inside_mall,evening,short_video,store_visit,product,new,streets
63,clinic,sales,low,mid_month,main_street,noon,static_image,social_follow,service,established,streets
64,beauty_salon,footfall,medium,mid_month,near_entertainment,evening,short_video,store_visit,product,established,entertainment_restaurants
65,fashion_store,sales,medium,mid_month,near_entertainment,noon,static_image,store_visit,product,established,malls
66,cafe,sales,high,long_2months,main_street,evening,coupon_offer,purchase,product,new,malls
67,electronics,footfall,high,short_week,main_street,evening,static_image,store_visit,product,established,streets
68,supermarket,sales,medium,short_week,near_entertainment,evening,static_image,website_visit,product,established,entertainment_restaurants
69,fashion_store,footfall,high,mid_month,main_street,noon,short_video,store_visit,service,established,streets
70,cafe,footfall,high,mid_month,main_street,morning,coupon_offer,purchase,product,new,streets
71,clinic,sales,high,long_2months,main_street,morning,coupon_offer,website_visit,service,established,malls
72,supermarket,product_launch,low,mid_month,inside_mall,evening,static_image,purchase,experience,established,malls
73,fashion_store,product_launch,medium,long_2months,inside_mall,noon,static_image,social_follow,product,new,malls
74,fashion_store,footfall,medium,mid_month,inside_mall,morning,static_image,website_visit,product,established,entertainment_restaurants
75,gaming_arcade,awareness,medium,mid_month,near_entertainment,evening,static_image,store_visit,product,established,entertainment_restaurants
76,beauty_salon,footfall,medium,mid_month,main_street,noon,static_image,store_visit,product,famous,malls
77,gaming_arcade,footfall,high,long_2months,near_entertainment,noon,short_video,purchase,service,famous,streets
78,cafe,awareness,low,short_week,inside_mall,evening,coupon_offer,purchase,product,new,entertainment_restaurants
79,restaurant,sales,low,mid_month,main_street,morning,short_video,purchase,product,new,entertainment_restaurants
80,fashion_store,awareness,medium,mid_month,inside_mall,evening,static_image,purchase,experience,established,malls
81,clinic,sales,high,long_2months,inside_mall,evening,static_image,website_visit,product,famous,streets
82,fashion_store,sales,low,mid_month,inside_mall,evening,short_video,store_visit,experience,established,malls
83,beauty_salon,awareness,high,long_2months,near_entertainment,morning,coupon_offer,store_visit,product,established,streets
84,gym,awareness,low,short_week,main_street,morning,coupon_offer,store_visit,product,new,streets
85,fashion_store,sales,low,mid_month,near_entertainment,noon,static_image,store_visit,product,famous,malls
86,education_center,sales,high,long_2months,main_street,morning,coupon_offer,store_visit,service,established,malls
87,supermarket,footfall,low,mid_month,inside_mall,morning,short_video,purchase,product,established,malls
88,fashion_store,awareness,medium,mid_month,near_entertainment,noon,static_image,purchase,service,established,malls
89,clinic,sales,low,short_week,near_entertainment,morning,short_video,website_visit,product,established,entertainment_restaurants
90,gaming_arcade,footfall,medium,mid_month,near_entertainment,evening,coupon_offer,purchase,experience,established,entertainment_restaurants
91,cafe,footfall,low,mid_month,near_entertainment,noon,coupon_offer,purchase,product,established,entertainment_restaurants
92,education_center,awareness,low,short_week,main_street,evening,short_video,store_visit,experience,established,streets
93,supermarket,footfall,medium,long_2months,inside_mall,evening,coupon_offer,website_visit,product,famous,malls
94,clinic,awareness,low,long_2months,inside_mall,noon,coupon_offer,website_visit,product,established,streets
95,fashion_store,sales,low,mid_month,inside_mall,evening,static_image,store_visit,service,established,malls
96,clinic,sales,medium,short_week,near_entertainment,evening,short_video,store_visit,service,established,entertainment_restaurants
97,fashion_store,sales,low,mid_month,main_street,evening,short_video,website_visit,product,established,malls
98,supermarket,sales,medium,long_2months,main_street,evening,short_video,purchase,product,famous,malls
99,gym,sales,low,short_week,near_entertainment,evening,static_image,store_visit,product,established,entertainment_restaurants
100,supermarket,footfall,medium,mid_month,inside_mall,morning,short_video,purchase,service,famous,malls
101,education_center,footfall,medium,mid_month,inside_mall,evening,short_video,store_visit,service,established,streets
102,supermarket,awareness,high,long_2months,main_street,evening,short_video,social_follow,service,established,streets
103,gaming_arcade,sales,low,short_week,near_entertainment,evening,short_video,store_visit,service,new,entertainment_restaurants
104,cafe,sales,low,mid_month,main_street,evening,static_image,store_visit,product,new,streets
105,gaming_arcade,sales,medium,mid_month,main_street,noon,coupon_offer,store_visit,product,established,malls
106,electronics,footfall,low,mid_month,main_street,morning,short_video,store_visit,product,established,streets
107,restaurant,awareness,low,mid_month,main_street,noon,coupon_offer,purchase,product,famous,streets
108,electronics,sales,low,mid_month,main_street,evening,short_video,website_visit,experience,new,malls
109,electronics,awareness,medium,mid_month,inside_mall,noon,short_video,store_visit,experience,established,malls
110,gym,sales,medium,mid_month,inside_mall,evening,short_video,social_follow,service,new,malls
111,cafe,footfall,medium,mid_month,inside_mall,evening,static_image,purchase,service,established,entertainment_restaurants
112,clinic,footfall,medium,long_2months,main_street,morning,short_video,website_visit,product,established,malls
113,fashion_store,footfall,low,long_2months,inside_mall,evening,coupon_offer,purchase,product,established,malls
114,supermarket,awareness,medium,long_2months,main_street,noon,static_image,store_visit,product,new,streets
115,fashion_store,awareness,medium,short_week,inside_mall,noon,short_video,website_visit,product,established,malls
116,fashion_store,sales,medium,mid_month,main_street,morning,short_video,purchase,product,established,malls
117,beauty_salon,awareness,low,mid_month,inside_mall,noon,coupon_offer,purchase,product,established,malls
118,fashion_store,sales,medium,long_2months,main_street,evening,static_image,purchase,product,established,streets
119,fashion_store,sales,low,short_week,near_entertainment,noon,short_video,store_visit,product,famous,malls
120,gym,awareness,high,short_week,inside_mall,evening,short_video,store_visit,product,famous,malls
121,supermarket,sales,medium,mid_month,main_street,morning,short_video,store_visit,service,established,entertainment_restaurants
122,education_center,awareness,high,short_week,main_street,evening,short_video,purchase,service,established,streets
123,restaurant,sales,medium,long_2months,inside_mall,noon,short_video,social_follow,service,established,entertainment_restaurants
124,restaurant,sales,medium,mid_month,near_entertainment,morning,coupon_offer,purchase,experience,famous,malls
125,fashion_store,sales,medium,short_week,inside_mall,noon,short_video,purchase,product,new,entertainment_restaurants
126,gaming_arcade,sales,medium,mid_month,inside_mall,morning,short_video,purchase,product,established,entertainment_restaurants
127,gym,sales,low,short_week,main_street,evening,short_video,purchase,product,established,streets
128,clinic,awareness,low,short_week,inside_mall,evening,short_video,purchase,product,established,streets
129,clinic,awareness,medium,short_week,near_entertainment,morning,short_video,store_visit,service,established,malls
130,gym,footfall,medium,mid_month,inside_mall,morning,static_image,purchase,product,established,streets
131,electronics,sales,low,mid_month,near_entertainment,morning,short_video,purchase,experience,established,entertainment_restaurants
132,fashion_store,awareness,medium,short_week,main_street,noon,coupon_offer,store_visit,service,established,streets
133,fashion_store,sales,medium,long_2months,inside_mall,morning,static_image,store_visit,service,established,malls
134,fashion_store,footfall,high,short_week,inside_mall,morning,short_video,store_visit,product,established,malls
135,electronics,footfall,medium,long_2months,main_street,noon,static_image,purchase,product,established,streets
136,electronics,awareness,low,short_week,near_entertainment,evening,short_video,store_visit,product,established,entertainment_restaurants
137,education_center,sales,low,mid_month,inside_mall,noon,short_video,store_visit,product,established,streets
138,restaurant,awareness,medium,mid_month,main_street,noon,short_video,website_visit,experience,established,streets
139,electronics,sales,high,mid_month,near_entertainment,noon,short_video,purchase,service,established,entertainment_restaurants
140,restaurant,footfall,high,long_2months,main_street,evening,static_image,purchase,product,new,streets
141,restaurant,awareness,low,mid_month,inside_mall,evening,static_image,purchase,product,established,entertainment_restaurants
142,gaming_arcade,footfall,medium,long_2months,inside_mall,evening,static_image,website_visit,service,established,entertainment_restaurants
143,supermarket,footfall,low,long_2months,main_street,evening,short_video,store_visit,product,new,streets
144,gaming_arcade,sales,high,long_2months,near_entertainment,noon,static_image,website_visit,product,established,entertainment_restaurants
145,electronics,sales,high,short_week,main_street,evening,static_image,purchase,service,famous,streets
146,education_center,awareness,low,short_week,main_street,evening,short_video,purchase,product,established,streets
147,cafe,awareness,medium,mid_month,main_street,morning,short_video,website_visit,product,new,streets
148,fashion_store,product_launch,low,mid_month,near_entertainment,noon,short_video,store_visit,product,established,entertainment_restaurants
149,restaurant,product_launch,high,mid_month,near_entertainment,evening,coupon_offer,social_follow,service,new,entertainment_restaurants
150,education_center,footfall,high,mid_month,inside_mall,noon,static_image,store_visit,service,new,streets
151,beauty_salon,footfall,medium,mid_month,near_entertainment,noon,coupon_offer,purchase,service,established,malls
152,fashion_store,sales,medium,mid_month,main_street,evening,static_image,purchase,product,new,streets
153,education_center,footfall,medium,short_week,main_street,noon,short_video,store_visit,service,famous,malls
154,restaurant,awareness,low,long_2months,inside_mall,noon,static_image,purchase,service,established,streets
155,electronics,footfall,medium,short_week,inside_mall,morning,short_video,store_visit,experience,famous,malls
156,clinic,sales,medium,long_2months,main_street,morning,short_video,website_visit,product,established,streets
157,fashion_store,awareness,low,mid_month,main_street,morning,short_video,website_visit,product,new,streets
158,clinic,footfall,high,mid_month,main_street,noon,static_image,social_follow,product,established,streets
159,electronics,footfall,medium,mid_month,near_entertainment,evening,coupon_offer,store_visit,product,famous,malls
160,fashion_store,product_launch,high,mid_month,main_street,evening,static_image,website_visit,service,famous,streets
161,fashion_store,footfall,medium,long_2months,inside_mall,noon,coupon_offer,store_visit,product,famous,entertainment_restaurants
162,clinic,awareness,low,long_2months,inside_mall,evening,short_video,store_visit,service,new,malls
163,clinic,sales,medium,mid_month,inside_mall,evening,short_video,website_visit,experience,established,streets
164,cafe,product_launch,low,mid_month,near_entertainment,morning,static_image,website_visit,service,famous,entertainment_restaurants
165,restaurant,awareness,low,long_2months,near_entertainment,noon,static_image,social_follow,experience,famous,entertainment_restaurants
166,restaurant,footfall,low,long_2months,inside_mall,evening,static_image,website_visit,experience,famous,entertainment_restaurants
167,cafe,sales,low,mid_month,inside_mall,morning,static_image,purchase,service,established,entertainment_restaurants
168,supermarket,awareness,high,mid_month,inside_mall,evening,short_video,store_visit,product,new,malls
169,cafe,awareness,high,short_week,main_street,morning,static_image,purchase,product,new,streets
170,fashion_store,footfall,high,mid_month,inside_mall,morning,coupon_offer,store_visit,service,new,malls
171,restaurant,awareness,medium,mid_month,main_street,noon,static_image,purchase,product,new,streets
172,beauty_salon,sales,medium,mid_month,inside_mall,evening,short_video,website_visit,product,established,malls
173,fashion_store,footfall,low,short_week,main_street,morning,static_image,purchase,product,established,streets
174,restaurant,footfall,high,mid_month,inside_mall,evening,static_image,website_visit,product,established,malls
175,beauty_salon,sales,high,short_week,main_street,evening,coupon_offer,social_follow,service,established,malls
176,fashion_store,awareness,high,mid_month,main_street,evening,static_image,purchase,product,new,streets
177,electronics,awareness,low,short_week,inside_mall,noon,static_image,website_visit,product,famous,malls
178,fashion_store,sales,high,mid_month,inside_mall,evening,short_video,purchase,experience,new,malls
179,restaurant,sales,medium,mid_month,inside_mall,evening,short_video,store_visit,product,famous,entertainment_restaurants
180,cafe,product_launch,medium,mid_month,near_entertainment,evening,short_video,purchase,experience,established,entertainment_restaurants
181,cafe,footfall,medium,mid_month,inside_mall,evening,static_image,store_visit,product,established,entertainment_restaurants
182,electronics,awareness,medium,short_week,inside_mall,noon,short_video,store_visit,experience,new,malls
183,restaurant,sales,medium,mid_month,inside_mall,noon,short_video,store_visit,product,established,entertainment_restaurants
184,supermarket,sales,medium,mid_month,inside_mall,morning,coupon_offer,website_visit,service,new,malls
185,beauty_salon,sales,high,short_week,inside_mall,evening,static_image,purchase,experience,established,malls
186,fashion_store,sales,low,short_week,main_street,evening,short_video,store_visit,experience,established,malls
187,gym,awareness,low,short_week,inside_mall,morning,coupon_offer,purchase,product,established,streets
188,gym,sales,low,short_week,main_street,morning,static_image,social_follow,product,established,streets
189,gym,awareness,medium,mid_month,inside_mall,morning,static_image,store_visit,experience,famous,malls
190,electronics,awareness,low,long_2months,inside_mall,morning,short_video,purchase,product,new,malls
191,electronics,sales,medium,long_2months,near_entertainment,evening,short_video,website_visit,product,new,entertainment_restaurants
192,electronics,sales,medium,mid_month,main_street,evening,short_video,social_follow,product,new,malls
193,cafe,sales,medium,short_week,near_entertainment,noon,short_video,purchase,product,famous,malls
194,education_center,footfall,low,mid_month,inside_mall,noon,static_image,purchase,product,famous,malls
195,fashion_store,product_launch,high,long_2months,near_entertainment,morning,coupon_offer,purchase,service,established,malls
196,gaming_arcade,sales,medium,mid_month,inside_mall,evening,short_video,store_visit,product,famous,malls
197,beauty_salon,sales,medium,mid_month,near_entertainment,evening,static_image,store_visit,service,established,entertainment_restaurants
198,electronics,product_launch,low,mid_month,near_entertainment,noon,coupon_offer,social_follow,product,established,streets
199,supermarket,footfall,low,mid_month,inside_mall,morning,static_image,store_visit,service,established,malls
200,restaurant,sales,medium,mid_month,inside_mall,noon,short_video,store_visit,experience,established,entertainment_restaurants
201,restaurant,sales,medium,mid_month,main_street,morning,short_video,website_visit,service,established,entertainment_restaurants
202,restaurant,sales,medium,mid_month,main_street,evening,short_video,website_visit,service,new,entertainment_restaurants
203,cafe,sales,low,short_week,inside_mall,evening,short_video,social_follow,service,established,entertainment_restaurants
204,electronics,sales,low,mid_month,near_entertainment,noon,coupon_offer,website_visit,product,famous,malls
205,clinic,sales,medium,mid_month,main_street,morning,short_video,store_visit,service,established,streets
206,supermarket,sales,low,mid_month,inside_mall,evening,short_video,social_follow,product,established,entertainment_restaurants
207,education_center,sales,medium,long_2months,inside_mall,evening,coupon_offer,purchase,product,established,malls
208,restaurant,footfall,medium,mid_month,main_street,evening,static_image,social_follow,experience,established,entertainment_restaurants
209,gaming_arcade,awareness,medium,long_2months,inside_mall,morning,static_image,store_visit,service,established,streets
210,clinic,product_launch,low,mid_month,inside_mall,morning,short_video,purchase,service,established,malls
211,fashion_store,awareness,medium,mid_month,inside_mall,morning,short_video,website_visit,experience,new,malls
212,restaurant,sales,medium,short_week,main_street,noon,short_video,purchase,product,established,entertainment_restaurants
213,restaurant,awareness,medium,mid_month,inside_mall,evening,short_video,store_visit,product,established,entertainment_restaurants
214,cafe,sales,low,mid_month,main_street,morning,static_image,store_visit,service,established,streets
215,cafe,awareness,high,short_week,inside_mall,evening,short_video,store_visit,product,established,entertainment_restaurants
216,electronics,footfall,medium,mid_month,main_street,noon,coupon_offer,purchase,service,established,streets
217,clinic,sales,low,short_week,inside_mall,morning,static_image,website_visit,product,new,streets
218,electronics,footfall,high,long_2months,inside_mall,morning,short_video,store_visit,service,established,malls
219,education_center,footfall,low,mid_month,main_street,evening,short_video,website_visit,service,established,streets
220,clinic,awareness,low,short_week,inside_mall,noon,coupon_offer,website_visit,service,established,streets
221,clinic,sales,medium,long_2months,main_street,evening,coupon_offer,website_visit,product,established,malls
222,clinic,sales,high,short_week,inside_mall,evening,short_video,purchase,product,famous,malls
223,gym,awareness,high,mid_month,main_street,evening,coupon_offer,purchase,service,established,streets
224,clinic,sales,high,short_week,main_street,evening,static_image,social_follow,service,new,streets
225,fashion_store,sales,low,mid_month,main_street,morning,short_video,store_visit,product,famous,malls
226,restaurant,footfall,medium,mid_month,inside_mall,evening,coupon_offer,website_visit,service,established,entertainment_restaurants
227,electronics,footfall,medium,long_2months,near_entertainment,morning,coupon_offer,purchase,service,famous,malls
228,fashion_store,product_launch,high,mid_month,inside_mall,noon,static_image,store_visit,experience,established,malls
229,gym,sales,medium,long_2months,inside_mall,evening,short_video,website_visit,experience,established,entertainment_restaurants
230,beauty_salon,sales,high,long_2months,inside_mall,noon,short_video,purchase,service,new,malls
231,gym,awareness,medium,short_week,inside_mall,morning,short_video,website_visit,product,established,entertainment_restaurants
232,supermarket,product_launch,medium,short_week,inside_mall,noon,static_image,store_visit,product,famous,malls
233,gym,awareness,low,long_2months,inside_mall,noon,short_video,purchase,product,established,streets
234,restaurant,sales,medium,long_2months,inside_mall,morning,coupon_offer,website_visit,product,famous,malls
235,restaurant,sales,low,mid_month,main_street,evening,coupon_offer,purchase,service,established,malls
236,electronics,footfall,medium,short_week,inside_mall,evening,coupon_offer,website_visit,product,established,malls
237,electronics,product_launch,high,long_2months,inside_mall,evening,static_image,store_visit,service,established,malls
238,gym,sales,low,short_week,inside_mall,morning,coupon_offer,website_visit,service,established,malls
239,gaming_arcade,sales,medium,mid_month,inside_mall,noon,static_image,store_visit,service,established,streets
240,gym,footfall,medium,short_week,main_street,evening,short_video,store_visit,experience,new,streets
241,restaurant,footfall,medium,short_week,inside_mall,morning,short_video,website_visit,product,established,entertainment_restaurants
242,cafe,sales,medium,long_2months,main_street,morning,coupon_offer,store_visit,product,established,malls
243,education_center,footfall,medium,mid_month,inside_mall,evening,short_video,store_visit,service,famous,malls
244,restaurant,awareness,low,long_2months,inside_mall,morning,short_video,social_follow,product,famous,entertainment_restaurants
245,cafe,sales,high,short_week,near_entertainment,evening,short_video,purchase,product,new,entertainment_restaurants
246,restaurant,sales,high,long_2months,near_entertainment,noon,short_video,website_visit,product,established,entertainment_restaurants
247,gym,sales,medium,long_2months,near_entertainment,evening,static_image,website_visit,service,new,entertainment_restaurants
248,restaurant,footfall,medium,mid_month,inside_mall,noon,coupon_offer,store_visit,service,established,entertainment_restaurants
249,education_center,sales,high,long_2months,inside_mall,noon,short_video,store_visit,service,established,streets
250,gym,footfall,medium,mid_month,inside_mall,evening,short_video,purchase,product,established,streets
251,fashion_store,awareness,low,mid_month,inside_mall,evening,short_video,purchase,product,new,malls
252,fashion_store,sales,medium,mid_month,main_street,noon,coupon_offer,store_visit,service,established,malls
253,clinic,sales,high,short_week,main_street,evening,short_video,store_visit,product,famous,malls
254,education_center,awareness,medium,mid_month,inside_mall,morning,coupon_offer,store_visit,product,established,streets
255,cafe,sales,medium,long_2months,inside_mall,evening,coupon_offer,store_visit,experience,new,malls
256,supermarket,sales,high,long_2months,inside_mall,evening,short_video,social_follow,product,established,malls
257,fashion_store,footfall,medium,long_2months,inside_mall,noon,short_video,purchase,service,established,malls
258,beauty_salon,footfall,low,mid_month,main_street,evening,coupon_offer,store_visit,experience,established,entertainment_restaurants
259,supermarket,sales,medium,mid_month,near_entertainment,noon,short_video,store_visit,product,new,entertainment_restaurants
260,gym,sales,high,mid_month,near_entertainment,evening,coupon_offer,store_visit,service,established,malls
261,beauty_salon,sales,high,short_week,near_entertainment,evening,short_video,purchase,service,new,entertainment_restaurants
262,supermarket,awareness,high,short_week,main_street,evening,static_image,website_visit,product,famous,streets
263,electronics,sales,medium,short_week,inside_mall,morning,static_image,store_visit,experience,new,malls
264,gaming_arcade,product_launch,high,short_week,inside_mall,evening,coupon_offer,purchase,service,famous,malls
265,fashion_store,product_launch,medium,short_week,inside_mall,morning,short_video,social_follow,service,famous,malls
266,restaurant,product_launch,medium,long_2months,near_entertainment,morning,static_image,store_visit,product,established,malls
267,restaurant,awareness,medium,long_2months,near_entertainment,evening,short_video,store_visit,service,established,entertainment_restaurants
268,restaurant,footfall,low,short_week,inside_mall,noon,static_image,social_follow,service,established,entertainment_restaurants
269,fashion_store,sales,low,mid_month,inside_mall,evening,static_image,store_visit,product,established,malls
270,fashion_store,awareness,medium,mid_month,near_entertainment,evening,static_image,purchase,product,established,malls
271,restaurant,sales,low,short_week,inside_mall,evening,short_video,store_visit,experience,famous,malls
272,education_center,awareness,medium,mid_month,main_street,evening,short_video,store_visit,product,famous,malls
273,clinic,product_launch,medium,mid_month,inside_mall,morning,short_video,website_visit,product,new,malls
274,fashion_store,footfall,medium,short_week,inside_mall,morning,short_video,store_visit,service,established,malls
275,electronics,footfall,low,mid_month,inside_mall,evening,short_video,website_visit,product,established,malls
276,cafe,sales,medium,mid_month,inside_mall,noon,static_image,social_follow,service,established,entertainment_restaurants
277,supermarket,sales,medium,long_2months,main_street,evening,static_image,store_visit,experience,established,streets
278,beauty_salon,awareness,medium,mid_month,inside_mall,evening,short_video,social_follow,experience,famous,malls
279,fashion_store,product_launch,medium,long_2months,main_street,evening,short_video,social_follow,experience,new,malls
280,fashion_store,sales,low,mid_month,near_entertainment,evening,static_image,website_visit,product,established,entertainment_restaurants
281,clinic,awareness,high,long_2months,main_street,morning,short_video,website_visit,product,established,streets
282,electronics,footfall,low,short_week,inside_mall,evening,static_image,store_visit,experience,established,malls
283,gym,product_launch,high,short_week,near_entertainment,noon,short_video,website_visit,service,new,entertainment_restaurants
284,restaurant,product_launch,medium,long_2months,inside_mall,noon,static_image,store_visit,product,famous,malls
285,gym,awareness,high,mid_month,inside_mall,noon,static_image,store_visit,experience,famous,streets
286,beauty_salon,sales,low,short_week,inside_mall,noon,short_video,store_visit,product,established,malls
287,gaming_arcade,sales,medium,mid_month,near_entertainment,noon,static_image,store_visit,service,established,entertainment_restaurants
288,restaurant,sales,high,mid_month,inside_mall,morning,short_video,store_visit,service,established,entertainment_restaurants
289,education_center,awareness,medium,short_week,inside_mall,evening,short_video,purchase,experience,established,streets
290,cafe,awareness,high,mid_month,inside_mall,noon,static_image,purchase,service,new,streets
291,education_center,awareness,medium,mid_month,inside_mall,evening,static_image,store_visit,product,established,streets
292,clinic,product_launch,medium,short_week,main_street,morning,short_video,purchase,service,established,streets
