iter	Passed	Remaining
0	13	6750
1	23	5752
2	36	6036
3	44	5530
4	55	5482
5	63	5249
6	72	5080
7	81	5035
8	89	4904
9	99	4897
10	107	4789
11	116	4748
12	125	4693
13	134	4657
14	142	4604
15	154	4661
16	170	4835
17	181	4851
18	190	4834
19	202	4871
20	214	4893
21	224	4879
22	234	4859
23	243	4824
24	252	4796
25	261	4773
26	271	4757
27	280	4725
28	288	4680
29	296	4649
30	304	4611
31	313	4577
32	321	4551
33	330	4526
34	339	4515
35	351	4525
36	360	4506
37	368	4480
38	377	4466
39	385	4438
40	394	4417
41	403	4399
42	412	4383
43	420	4353
44	428	4331
45	436	4306
46	444	4284
47	453	4267
48	462	4255
49	472	4253
50	482	4251
51	497	4283
52	511	4312
53	523	4325
54	535	4332
55	548	4351
56	562	4372
57	576	4395
58	590	4411
59	602	4419
60	614	4424
61	626	4427
62	639	4436
63	654	4455
64	667	4469
65	680	4474
66	693	4482
67	706	4487
68	717	4482
69	728	4478
70	744	4497
71	760	4521
72	772	4516
73	784	4514
74	794	4502
75	806	4497
76	816	4484
77	825	4468
78	836	4458
79	849	4461
80	859	4447
81	870	4437
82	880	4424
83	893	4422
84	903	4409
85	913	4397
86	923	4385
87	935	4378
88	944	4362
89	954	4349
90	965	4341
91	976	4330
92	986	4319
93	998	4311
94	1009	4304
95	1020	4292
96	1031	4286
97	1042	4276
98	1051	4259
99	1061	4245
100	1070	4228
101	1079	4212
102	1088	4193
103	1097	4180
104	1106	4163
105	1115	4144
106	1122	4123
107	1131	4105
108	1139	4087
109	1148	4070
110	1157	4055
111	1168	4047
112	1181	4046
113	1191	4036
114	1202	4027
115	1212	4015
116	1224	4007
117	1232	3989
118	1241	3974
119	1249	3955
120	1257	3940
121	1265	3919
122	1273	3903
123	1282	3887
124	1290	3871
125	1298	3852
126	1306	3838
127	1314	3820
128	1324	3809
129	1333	3794
130	1341	3778
131	1348	3760
132	1358	3749
133	1368	3736
134	1376	3720
135	1384	3705
136	1392	3688
137	1400	3674
138	1409	3659
139	1417	3644
140	1424	3628
141	1432	3611
142	1440	3596
143	1449	3582
144	1456	3565
145	1464	3550
146	1472	3536
147	1481	3523
148	1489	3509
149	1498	3496
150	1506	3482
151	1515	3469
152	1525	3458
153	1533	3446
154	1541	3431
155	1550	3419
156	1558	3403
157	1566	3391
158	1574	3376
159	1584	3366
160	1592	3352
161	1600	3339
162	1611	3331
163	1621	3322
164	1630	3310
165	1638	3296
166	1646	3283
167	1653	3267
168	1660	3251
169	1667	3236
170	1675	3224
171	1683	3210
172	1691	3197
173	1698	3182
174	1705	3167
175	1713	3154
176	1721	3141
177	1731	3131
178	1738	3117
179	1746	3105
180	1753	3091
181	1762	3078
182	1768	3064
183	1776	3051
184	1783	3036
185	1791	3024
186	1798	3010
187	1806	2997
188	1813	2983
189	1820	2970
190	1828	2957
191	1835	2945
192	1844	2933
193	1851	2920
194	1858	2907
195	1866	2894
196	1873	2882
197	1881	2869
198	1888	2856
199	1895	2843
200	1902	2830
201	1910	2818
202	1917	2805
203	1926	2794
204	1934	2783
205	1942	2772
206	1949	2759
207	1957	2747
208	1964	2734
209	1971	2722
210	1978	2709
211	1985	2697
212	1992	2685
213	2000	2673
214	2007	2661
215	2015	2650
216	2023	2639
217	2031	2627
218	2039	2617
219	2046	2604
220	2054	2593
221	2061	2580
222	2068	2569
223	2075	2557
224	2083	2546
225	2090	2534
226	2097	2522
227	2105	2511
228	2113	2500
229	2121	2490
230	2129	2480
231	2137	2469
232	2144	2457
233	2154	2449
234	2162	2439
235	2171	2428
236	2178	2417
237	2186	2406
238	2193	2395
239	2201	2385
240	2208	2373
241	2216	2363
242	2224	2352
243	2232	2342
244	2240	2331
245	2249	2322
246	2256	2311
247	2264	2301
248	2271	2289
249	2279	2279
250	2286	2268
251	2293	2257
252	2300	2245
253	2307	2235
254	2315	2224
255	2323	2214
256	2331	2204
257	2339	2194
258	2347	2184
259	2354	2173
260	2362	2163
261	2368	2151
262	2376	2141
263	2383	2130
264	2390	2119
265	2398	2109
266	2405	2099
267	2413	2089
268	2421	2079
269	2430	2070
270	2438	2060
271	2445	2049
272	2452	2039
273	2461	2029
274	2468	2019
275	2475	2009
276	2482	1998
277	2489	1988
278	2496	1977
279	2505	1968
280	2513	1958
281	2522	1949
282	2532	1941
283	2544	1934
284	2556	1928
285	2570	1923
286	2582	1916
287	2592	1908
288	2604	1901
289	2616	1894
290	2628	1888
291	2640	1880
292	2652	1874
293	2662	1865
294	2677	1860
295	2689	1853
296	2701	1846
297	2713	1839
298	2724	1831
299	2736	1824
300	2749	1817
301	2761	1810
302	2776	1805
303	2787	1797
304	2800	1790
305	2813	1783
306	2825	1776
307	2838	1769
308	2851	1762
309	2863	1755
310	2874	1746
311	2884	1738
312	2896	1730
313	2908	1722
314	2917	1713
315	2928	1705
316	2938	1696
317	2949	1688
318	2961	1680
319	2971	1671
320	2981	1662
321	2992	1653
322	3001	1644
323	3011	1635
324	3021	1626
325	3031	1617
326	3043	1610
327	3053	1601
328	3064	1592
329	3076	1584
330	3087	1576
331	3096	1567
332	3107	1558
333	3117	1549
334	3128	1540
335	3141	1533
336	3153	1525
337	3161	1515
338	3170	1505
339	3179	1496
340	3189	1486
341	3198	1477
342	3207	1467
343	3216	1458
344	3226	1449
345	3238	1441
346	3246	1431
347	3255	1421
348	3263	1412
349	3271	1402
350	3280	1392
351	3289	1383
352	3299	1374
353	3307	1364
354	3317	1355
355	3325	1345
356	3334	1335
357	3341	1325
358	3350	1316
359	3358	1306
360	3366	1296
361	3374	1286
362	3382	1276
363	3389	1266
364	3398	1257
365	3406	1247
366	3415	1237
367	3421	1227
368	3430	1217
369	3437	1207
370	3444	1197
371	3451	1187
372	3458	1177
373	3466	1167
374	3473	1157
375	3481	1148
376	3488	1138
377	3497	1128
378	3504	1118
379	3512	1109
380	3519	1099
381	3526	1089
382	3533	1079
383	3540	1069
384	3548	1059
385	3555	1050
386	3563	1040
387	3570	1030
388	3578	1021
389	3585	1011
390	3593	1001
391	3600	991
392	3608	982
393	3617	973
394	3627	964
395	3634	954
396	3642	944
397	3648	935
398	3657	925
399	3663	915
400	3671	906
401	3678	896
402	3686	887
403	3694	877
404	3702	868
405	3711	859
406	3718	849
407	3726	840
408	3734	830
409	3741	821
410	3748	811
411	3756	802
412	3764	792
413	3772	783
414	3779	774
415	3788	764
416	3795	755
417	3803	746
418	3811	736
419	3818	727
420	3825	717
421	3833	708
422	3840	699
423	3847	689
424	3855	680
425	3861	670
426	3868	661
427	3875	651
428	3883	642
429	3890	633
430	3898	624
431	3905	614
432	3913	605
433	3921	596
434	3928	587
435	3936	577
436	3943	568
437	3951	559
438	3957	549
439	3965	540
440	3972	531
441	3980	522
442	3987	513
443	3995	503
444	4002	494
445	4010	485
446	4019	476
447	4029	467
448	4037	458
449	4045	449
450	4052	440
451	4061	431
452	4068	422
453	4077	413
454	4085	404
455	4093	395
456	4101	385
457	4109	376
458	4117	367
459	4133	359
460	4142	350
461	4150	341
462	4158	332
463	4165	323
464	4174	314
465	4182	305
466	4191	296
467	4199	287
468	4207	278
469	4215	269
470	4223	260
471	4230	250
472	4239	241
473	4246	232
474	4254	223
475	4261	214
476	4269	205
477	4276	196
478	4284	187
479	4293	178
480	4302	169
481	4309	160
482	4318	151
483	4326	143
484	4334	134
485	4342	125
486	4350	116
487	4358	107
488	4366	98
489	4374	89
490	4381	80
491	4389	71
492	4398	62
493	4405	53
494	4413	44
495	4421	35
496	4429	26
497	4439	17
498	4447	8
499	4454	0
