name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hail, Saudi Arabia",2022-01-01,66.2,46.2,54.9,66.2,45.4,54.8,47.9,78.6,0.358,100,25,rain,0,0,21,13.9,151.6,1016.2,43.9,5.3,124.9,10.7,6,,2022-01-01T07:03:41,2022-01-01T17:29:32,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-02,60.8,50,54.3,60.8,50,54.3,47.7,80.8,0.127,100,20.83,rain,0,0,26.8,30,289,1012.5,52.9,5.2,165.3,14.2,7,,2022-01-02T07:03:56,2022-01-02T17:30:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-03,59,44.6,51.4,59,42.9,51.2,40.4,68.4,0,0,0,,0,0,21,16.1,307.5,1017,51.7,6.2,118.2,10,6,,2022-01-03T07:04:10,2022-01-03T17:30:56,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-04,60.9,39.2,50.3,60.9,35.8,49.2,36.9,62.6,0,0,0,,0,0,16.3,13.9,311.4,1022.4,2.7,6.1,181.2,15.6,7,,2022-01-04T07:04:22,2022-01-04T17:31:39,0.05,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-05,59.1,39,48.5,59.1,33,47.2,36.1,63.7,0,0,0,,0,0,17,9.2,121,1023.8,0,6.2,183.5,15.8,7,,2022-01-05T07:04:33,2022-01-05T17:32:22,0.09,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-06,64.2,33.8,49.1,64.2,33.8,49.1,35.4,63.2,0,0,0,,0,0,13.6,9.2,131.3,1024,0,6.2,181.9,15.6,7,,2022-01-06T07:04:42,2022-01-06T17:33:06,0.12,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-07,68.1,37.4,52.2,68.1,32.1,50.8,33.1,53.2,0,0,0,,0,0,17.9,11.4,208.1,1021.2,5,6.2,182.9,15.9,7,,2022-01-07T07:04:50,2022-01-07T17:33:51,0.15,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-08,73.4,44.6,57.8,73.4,39.7,56.4,34.2,43.4,0,0,0,,0,0,15.2,11.4,198.3,1019.6,57.3,6.2,141,12.1,5,,2022-01-08T07:04:56,2022-01-08T17:34:36,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-09,77,46.4,61.4,77,44.2,61.3,37.6,42.7,0,0,0,,0,0,16.3,11.4,219.9,1018,17.1,6.2,180.7,15.7,7,,2022-01-09T07:05:01,2022-01-09T17:35:22,0.25,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-10,68,55.4,59.7,68,55.4,59.7,49.3,69.6,0.088,100,37.5,rain,0,0,20.8,13.9,195.5,1016.9,65.4,6.2,110.7,9.5,4,10,2022-01-10T07:05:04,2022-01-10T17:36:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-11,71.6,50,59.9,71.6,50,59.9,50.9,75.8,0.008,100,8.33,rain,0,0,20.6,20.8,257.4,1018.9,24,6,174.9,15.2,7,10,2022-01-11T07:05:06,2022-01-11T17:36:55,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-12,75.2,46.4,61,75.2,46.3,60.9,50.2,72.2,0,0,0,,0,0,22.1,11.4,196.1,1019.3,22.4,6.2,167.6,14.4,7,10,2022-01-12T07:05:06,2022-01-12T17:37:42,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-13,77,53.6,65.4,77,53.6,65.4,46.6,54.2,0.024,100,8.33,rain,0,0,22.8,18.3,247.9,1015.8,34,6.2,172.4,14.8,7,10,2022-01-13T07:05:04,2022-01-13T17:38:30,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-14,64.5,51.8,57.8,64.5,51.8,57.8,46.7,69.5,0.02,100,8.33,rain,0,0,24.8,11.4,263.9,1013.2,40.8,5.9,172.5,14.9,7,10,2022-01-14T07:05:01,2022-01-14T17:39:18,0.38,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-15,60.8,42.8,51.2,60.8,40,51,39,65.3,0,0,0,,0,0,19.2,11.4,124,1012.5,21.3,6.2,186.1,16.3,7,10,2022-01-15T07:04:57,2022-01-15T17:40:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2022-01-16,55.7,41,48.8,55.7,38.2,48.2,33.1,58.3,0,0,0,,0,0,16.3,13.9,237.4,1013.2,16.1,6.2,181.6,15.9,7,10,2022-01-16T07:04:50,2022-01-16T17:40:54,0.45,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
